"ZHYD","denr","elev","slop","pop","popd","clc1area","clc2area","clc3area","clc4area","clc5area","clc1","clc2","clc3","clc4","clc5","area_1","RivLen","RivCount","LenD","RivDen","Nroad","roadD","Nbar_obs","Nkm2_obs"
"A020002155",4018.05445057,28.8229123947655,249.845318255897,12010.3263142,72.5305049469171,9.18,109.83,41.8,4.53,0.25,0.055438130321879,0.663264689896733,0.252430702337098,0.027356724439882,0.001509753004408,165.59,38930.81031,13,235.103631318316,0.078507156229241,27,0.163053324476116,4,0.024156048070536
"A020002167",3496.13001259,54.5889822261045,249.625955831336,13693.2444329,49.8607014269927,10.43,120.39,125.84,0,17.97,0.037978370899028,0.438371627280341,0.45821650948549,0,0.065433492335142,274.63,63726.73292,24,232.045781305757,0.087390306958453,27,0.09831409532826,12,0.043695153479227
"A020002256",2190.96675636,38.5090302520299,249.849833529159,5251.9729074,68.5725670113592,2.56,46.62,27.41,0,0,0.033424729076903,0.608695652173913,0.357879618749184,0,0,76.59,18724.79037,10,244.480877007442,0.130565347956652,3,0.039169604386996,1,0.013056534795665
"A020002284",3066.65412974,94.6287792080884,249.558620479381,136539.815958,64.0373587522556,65.76,1086.17,851.37,17.93,110.96,0.030841529132019,0.509415202209934,0.399293683958747,0.008409194302572,0.052040390396728,2132.19,583985.99637,231,273.890223840277,0.108339313100615,203,0.095207275149025,62,0.029078084035663
"A020002359",4295.91424266,108.249862692544,249.374893219407,212025.550948,332.333658753283,58.71,278.32,295.13,1.01,4.82,0.092023385946488,0.43624508221132,0.462593457577705,0.001583096913745,0.007554977350742,637.99,192315.40894,66,301.439535008386,0.103449897333814,162,0.253922475273907,27,0.042320412545651
"A020002429",3852.10776551,105.037844534522,249.743488204272,38665.937262,43.1092027939701,23.86,454.3,381.71,2.11,34.95,0.026601852987413,0.506505524399897,0.425573902088234,0.002352468977512,0.038966251546943,896.93,248258.23274,83,276.786630773862,0.092537879210195,29,0.032332512013201,32,0.035677254635256
"A020002488",4414.39867868,104.636675191217,249.731433398564,84123.5921656,35.4874003027083,61.98,1338.27,904.71,7.39,58.17,0.026146162023522,0.564547019219412,0.381650439566002,0.003117459460372,0.024538919730692,2370.52,643740.28936,179,271.560792298736,0.075510858377065,174,0.073401616522957,42,0.017717631574507
"A020002590",3996.00073294,68.8900645705121,249.853290413634,8521.07891484,26.4695542831635,5.5,189.79,124.19,2.44,0,0.017084990059642,0.589556411530815,0.38577907554672,0.007579522862823,0,321.92,95045.92796,26,295.247042619284,0.080765407554672,22,0.068339960238569,2,0.006212723658052
"A020002607",3329.59318646,116.200172292091,249.633791157111,178842.606056,106.850168216538,82.98,823.73,740.59,0.39,26.08,0.04957670408718,0.49214049720093,0.442468200529344,0.000233006924488,0.015581591258058,1673.77,474475.9134,162,283.477367499716,0.096787491710331,170,0.101567120930594,63,0.037639580109573
"A020002710",4511.86857559,62.9066332423193,249.830284528842,170795.970153,89.7895941252238,80.29,1152.28,597.43,11.56,60.62,0.042209464929712,0.605768118684877,0.314076480669548,0.006077237695697,0.031868698020166,1902.18,534004.11508,151,280.732693583152,0.079382603118527,201,0.105668233290225,36,0.018925653723622
"A020002742",4447.82707605,102.571320698756,249.7445698616,352259.709705,305.592655312221,153.02,748.02,238.69,0.6,12.38,0.132748045909205,0.648922972820571,0.207068560175586,0.000520512531339,0.010739908563299,1152.71,330898.03793,95,287.06095889686,0.082414484128705,230,0.199529803680024,54,0.046846127820527
"A020002796",4192.25232029,28.687522461029,249.912110063385,18614.3736524,82.0160982214928,7.3,200.43,17.21,0.64,1.38,0.032164258019034,0.883107155445894,0.075828339795559,0.002819880155093,0.00608036658442,226.96,56311.32452,15,248.11122893902,0.066090941135002,13,0.057278815650335,132,0.581600281988015
"A020002801",3717.57441884,142.033041263979,249.666930000343,301799.828823,108.806491195081,120.89,1406.22,1105.94,9.82,130.86,0.043583910474343,0.5069779682954,0.398719413929979,0.003540359011151,0.047178348289127,2773.73,756020.73316,253,272.564645138496,0.091212915460409,263,0.094818169035919,83,0.029923604676735
"A020002842",3631.00425072,89.3511699186613,249.736746843407,97844.8300188,43.6534442843059,43.15,1057.2,1122.25,2.18,16.62,0.01925136075667,0.47166949228161,0.500691532078165,0.00097260640671,0.007415008476845,2241.4,575084.97044,195,256.574003051664,0.08699919693049,156,0.069599357544392,125,0.055768715981083
"A020002890",4278.21868794,58.1745113144535,249.887647682831,193447.555226,111.379671715844,82.27,1322.33,296.37,13.52,22.34,0.047367905897526,0.76134682150815,0.170638462025644,0.007784296678431,0.012862513890248,1736.83,476557.55835,130,274.383536874651,0.074849006523379,188,0.108243178664579,39,0.022454701957014
"A020003113",6353.58096013,14.7566232356396,249.94487796866,15607.1529808,47.643790771146,10.21,219.45,92.08,1.61,4.23,0.031167958971854,0.669912693082606,0.28109164173637,0.004914829965199,0.012912876243971,327.58,79776.00628,15,243.531370291227,0.045790341290677,33,0.10073875083949,255,0.778435801941511
"A020003146",4282.42591156,13.9225452734567,249.942511785485,371226.623157,109.036780578375,206.65,2824.8,261.98,54.11,57.06,0.060697291899195,0.829700992774482,0.076948833930564,0.015893203313164,0.016759678082594,3404.6,705851.76432,234,207.322964318863,0.06873054103272,285,0.083710274334724,4135,1.21453327850555
"A020003262",3574.34185927,138.777410413091,249.740711249974,106125.602965,35.3752009884705,69.32,1329.33,1152.64,35.98,412.73,0.023106666666667,0.44311,0.384213333333333,0.011993333333333,0.137576666666667,3000,808055.59235,318,269.351864116667,0.106,191,0.063666666666667,19,0.006333333333333
"A020003332",2959.55700582,41.2910891266024,249.726046948066,108037.505458,143.768221563251,52.98,511.1,109.33,1.64,76.42,0.070501816439778,0.680133604801256,0.145488176507379,0.002182389183866,0.101694013067721,751.47,187983.6231,72,250.154527925266,0.095812208072178,68,0.090489307623724,1154,1.53565677937908
"A020003334",2533.94905889,20.0959666597285,249.940334537831,6065.81891037,50.3847405130659,3.36,52.36,64,0.67,0,0.027909294791926,0.434919843840851,0.531605615084309,0.005565246282914,0,120.39,30338.02208,14,251.997857629371,0.116288728299693,20,0.166126754713847,137,1.13796826978985
"A020003335",4421.14082272,31.0014367721558,249.87331547704,30860.1151245,46.0805063826788,26.26,505.49,129.51,8.15,0.29,0.039211587277886,0.754800657010602,0.193385097804987,0.012169628191728,0.000433029714798,669.7,149777.64715,36,223.648868373899,0.053755412871435,30,0.044796177392862,427,0.637598924891743
"A020003375",4981.51379217,38.9310453886517,249.872927963668,38504.178067,35.4488423452407,37.05,695.11,345.62,0.47,7.94,0.03411005441037,0.639952494499121,0.31819479096659,0.000432705143667,0.007309954980252,1086.19,283578.75531,65,261.076566079599,0.059842200719948,72,0.066286745412865,57,0.052477006785185
"A020003376",4613.20788589,151.683292611614,249.91199907296,133277.76928,42.2379949546523,69.3,2080.19,877.4,76.61,37.59,0.021962350256703,0.659247638968118,0.278063003105787,0.024279013754199,0.011912911199848,3155.4,814281.24075,234,258.05959331622,0.074158585282373,198,0.062749572162008,57,0.018064270773911
"A020003569",3687.37222863,31.8556194592165,249.878052536275,26185.0574515,189.746793127043,14.42,102.33,19.33,1.01,0.91,0.104492753623188,0.741521739130435,0.140072463768116,0.00731884057971,0.006594202898551,138,44930.2982,14,325.581871014493,0.101449275362319,48,0.347826086956522,284,2.05797101449275
"A020003597",3935.87792963,18.8880388500651,249.916554899944,5771.71224738,41.285495331774,3.47,105.93,30.31,0.09,0,0.024821173104435,0.757725321888412,0.216809728183119,0.000643776824034,0,139.8,40900.61512,17,292.565201144492,0.121602288984263,13,0.092989985693848,93,0.665236051502146
"A020003658",3755.0136221,27.3015866350727,249.949037092122,158284.583898,704.394926339059,55.53,143.15,19.63,0.63,5.77,0.247118508299586,0.63704330025366,0.087357037960037,0.002803613546349,0.025677539940368,224.71,45341.9799,15,201.779982644297,0.066752703484491,36,0.160206488362779,126,0.560722709269725
"A020003685",4750.13873453,5.71556896035341,249.975243720903,38033.4106463,105.786473023837,23.8,304.16,26.22,2.39,2.96,0.066197535671571,0.845993380246433,0.072928545601202,0.006647567657775,0.008232970823019,359.53,63612.22632,13,176.931622729675,0.036158317803799,33,0.091786499040414,290,0.80660862793091
"A020003744",3277.92904559,45.4917749201812,249.805953189846,130922.07716,46.3262235668024,87.99,1963.06,658.38,14.13,102.53,0.031134889547042,0.694620482716403,0.232964979883868,0.004999840769402,0.036279807083285,2826.09,713427.31922,288,252.443241092817,0.101907582561065,300,0.106153731834443,1678,0.593753206727316
"A020003792",3544.08489402,54.3334426731945,249.88721699917,11537.9979107,54.6487846859328,4.61,184.87,21.57,0.08,0,0.021834888457349,0.875621654904561,0.102164543172453,0.000378913465637,0,211.13,52235.51801,18,247.409264481599,0.085255529768389,28,0.13261971297305,222,1.05148486714347
"A020003856",3258.93981983,26.8285490276599,249.882691133008,29909.3618269,42.9824844821783,21.39,363.72,289.45,14.88,6.41,0.030739383487821,0.522698857512395,0.415966084644679,0.021383918948049,0.009211755407056,695.85,237365.21983,126,341.115498785658,0.181073507221384,60,0.08622547962923,34,0.048861105123231
"A020003861",1940.32366213,20.9544042948447,249.736950679182,2122.48762184,20.0159149551518,3.05,45.82,54.42,1.02,1.73,0.028762731044889,0.43210109392682,0.513202565069785,0.0096190116937,0.016314598264806,106.04,20911.58101,13,197.204649283289,0.122595247076575,8,0.0754432289702,10,0.09430403621275
"A020003994",4513.92911817,37.8999511575595,249.862207400618,520812.845663,184.267863126683,222.61,2158.62,371.18,5.47,68.51,0.078761246678625,0.763737488457007,0.131326533139446,0.001935330934514,0.024239400790408,2826.39,672930.49191,182,238.088335972743,0.064393095078881,362,0.128078573728325,3641,1.28821570979235
"A020004021",3826.66085541,51.8971947862904,249.852381745995,174073.603431,49.6949913301956,116.96,2702.08,564.52,22.14,97.14,0.033390049217207,0.771396923639104,0.161160658208768,0.006320585581985,0.027731783352936,3502.84,806055.69947,247,230.114906610065,0.070514211325667,264,0.07536741615375,1961,0.559831451051147
"A020004087",4027.64852156,17.4368045375573,249.956445547469,80033.1377601,40.1289298837477,53.74,1599.11,270.81,62.29,8.45,0.026945447252306,0.801800040112315,0.135785198555957,0.031232450862415,0.004236863217008,1994.4,428401.07794,121,214.801984526675,0.060669875651825,133,0.066686722823907,1182,0.59265944645006
"A020004307",3422.33950629,141.671100528285,249.718013322096,203262.00564,78.3075042242177,129.6,1479.15,849.53,12.78,124.63,0.04992892063382,0.569848479595021,0.327284845262724,0.004923546340279,0.048014208168156,2595.69,709743.08686,261,273.431375418482,0.100551298498665,192,0.073968771309363,57,0.021959478982467
"A020004310",60.74402,-1.20959896532,250,0,0,0,0,0,0.03,0,0,0,0,1,0,0.03,121.48804,2,4049.60133333,66.6666666666667,0,0,0,0
"A020004313",5810.22453803,3.45331784877661,249.975505053484,21580.2382124,50.6055675181034,13.28,353.19,36.57,17.71,5.69,0.031141543945221,0.828229059187693,0.085756495638308,0.041529875246225,0.013343025982553,426.44,62093.26987,12,145.60845574993,0.028139949348091,23,0.053934902917175,81,0.189944658099615
"A020004323",1217.99483934,7.02277214103786,249.935708898776,204.70369029078,15.4376840339955,0.23,3.85,9.18,0,0,0.017345399698341,0.290346907993967,0.692307692307692,0,0,13.26,11782.34978,11,888.563331825038,0.829562594268477,2,0.150829562594268,15,1.13122171945701
"A020004335",3848.19248333,-1.14976221351,249.999945449,9950.17358873,124.067002353242,5.98,74.13,0,0.09,0,0.074563591022444,0.92431421446384,0,0.001122194513716,0,80.2,11544.57745,3,143.947349750623,0.037406483790524,31,0.386533665835411,6,0.074812967581047
"A020004370",5523.78446083,16.1870268561609,249.961473551744,141683.188638,76.6078685876905,90.77,1538.63,172.28,37.02,10.76,0.049079190682686,0.831934726893255,0.093151514496123,0.020016653509673,0.005817914418263,1849.46,290871.97334,62,157.274000702908,0.033523298692591,142,0.076779167973354,223,0.120575735620127
"A020004405",3648.13504556,132.194399709565,249.896223663894,145092.69693,57.9624231709435,76.55,1388.48,955.02,14.56,68.61,0.030580612171523,0.554677575283036,0.381516606610685,0.005816508337262,0.027408697597494,2503.22,646559.53403,243,258.291134630596,0.097074967441935,226,0.090283714575627,62,0.024768098688889
"A020004441",3964.73403745,134.402218237403,249.926267376038,143905.12516,46.946659259093,104.76,2093.12,765.05,92.04,10.32,0.034176211712432,0.682845668762173,0.249584867989652,0.030026522775985,0.003366728759758,3065.29,697359.33706,211,227.501912399806,0.068835248867155,286,0.093302754388655,63,0.02055270463806
"A020004564",1633.68002058,20.5052279597014,249.938554626025,849.8294503866,12.1525732931017,0.44,9.55,58.57,0.83,0.54,0.006292006292006,0.136565136565137,0.837551837551837,0.011869011869012,0.007722007722008,69.93,28396.37138,19,406.068516802517,0.271700271700272,4,0.057200057200057,3,0.042900042900043
"A020004739",6401.49448661,132.357561512361,249.878689033169,194878.177318,53.4432605186791,109.29,1881.14,1579.07,26.97,49.98,0.029971616229484,0.515882570719467,0.433043096710499,0.007396234694017,0.013706481646533,3646.45,947147.72609,266,259.745156546778,0.072947661424125,260,0.071302225452152,258,0.070753746794828
"A020004832",3357.76605343,7.59118030041637,249.938278621795,68169.4928335,206.630574500703,34.55,235.92,54.55,3.66,1.23,0.10472553120548,0.715104119305265,0.165348125246279,0.011093934709466,0.003728289533509,329.91,81512.25293,28,247.074210936316,0.084871631657119,30,0.090933891061198,30,0.090933891061198
"A020004837",4370.24253293,38.7346380373616,249.874805631252,2249717.04435,770.527567585397,724.93,1469.94,641.97,4.93,77.94,0.248288357405359,0.503454110168476,0.219874576584661,0.001688523860246,0.026694431981258,2919.71,693885.6786,208,237.655684502913,0.071239951913033,808,0.276739813200626,3828,1.31108911501485
"A020004921",6775.19539642,7.10489689512991,249.968546105338,118811.947501,183.697621295403,56.53,471.35,77.12,9.04,32.74,0.087402207860478,0.728764031046105,0.119236834781533,0.013976931877918,0.050619994433965,646.78,146555.04417,32,226.591799638208,0.049475865054578,44,0.068029314450045,156,0.241194842141068
"A020005010",4123.70456658,3.40899814774602,249.991321442389,89834.6753597,181.363283789999,54.95,397.34,37.3,3.58,2.16,0.110936143581047,0.80217228918095,0.075303333131448,0.007227504895726,0.004360729210829,495.33,70580.99408,19,142.492871580562,0.038358266206368,22,0.044414834554741,97,0.195829043264087
"A020005051",3638.11506336,95.4360430271774,249.891775278918,772182.669785,214.086637385098,271.6,1869.7,1383.86,2.66,79.05,0.075300745521741,0.518371884764352,0.383673378857569,0.000737481528306,0.021916509328032,3606.87,978216.4371,365,271.209230468523,0.101195773620896,662,0.183538635991871,49,0.013585186047737
"A020005071",3687.47047475,66.2108679859627,249.85234599891,210124.54823,80.4310648235755,135.48,1462.69,690.21,15.72,308.38,0.051858770210681,0.559885625918667,0.264197237873591,0.006017270945615,0.118041095051445,2612.48,605039.37841,217,231.59579342617,0.083062836844684,234,0.089570063694267,1435,0.549286501714846
"A020005140",5046.88850538,60.0405853934255,249.849698877896,308835.731879,110.153702233814,179.31,1630.35,993.19,0,0.83,0.06395523026879,0.581503595274782,0.354245134965474,0,0.000296039490955,2803.68,645599.65757,164,230.268667454916,0.058494550019974,563,0.200807510129544,418,0.149089767733836
"A020005152",3701.04349015,106.517859961283,249.823115278972,256286.627681,86.9030411484528,105.37,2147.84,624.27,13.99,57.64,0.035729423453177,0.728301080665014,0.211680812177233,0.004743804062921,0.019544879641655,2949.11,725378.39596,265,245.965188127944,0.089857618061042,281,0.095282983679822,37,0.012546157993428
"A020005179",4149.69637879,37.1179512368055,249.894500389182,110345.585409,43.6102018396559,84.39,1652.37,750.15,2.4,40.96,0.033352171902603,0.653040979816383,0.296470337157695,0.000948515375829,0.016187995747489,2530.27,561625.86214,192,221.962819043027,0.075881230066357,225,0.088923316484012,2394,0.946144087389883
"A020005295",3684.96004253,98.8604068793943,249.913132314844,294434.261182,86.4523601867314,126.23,2424.78,775.42,8.76,70.55,0.037063898007481,0.711968617686612,0.227680327916987,0.002572128230575,0.020715028158344,3405.74,866045.79131,343,254.290048949714,0.100712326836458,375,0.110108229048606,97,0.028481328580573
"A020005362",4899.91019149,123.957215878634,249.923391924118,162253.378894,39.9687102369681,103.69,2615.59,1323.29,3.99,12.95,0.025542491581496,0.644311751910945,0.325972839086491,0.000982877243805,0.003190040177263,4059.51,895073.30789,246,220.488016506918,0.060598446610551,340,0.083753950599949,377,0.092868351106414
"A020005412",4243.88848092,151.439363174684,249.93846702769,173085.604788,39.0558142467672,164.31,2983.15,1227.12,1.04,21.25,0.037075647317651,0.673131381508433,0.276892875275004,0.000234670276979,0.004794945563265,4431.75,1007034.20308,306,227.231726311277,0.069047216111017,400,0.090257798837931,82,0.018502848761776
"A020005482",8101.58737939,33.8884390753851,249.905177854435,448865.917512,173.267164947003,250.57,1873.22,391.64,65.14,10.03,0.096722766926581,0.723083455570138,0.15117733343627,0.025144754111017,0.003871689955995,2590.6,424232.96904,82,163.758576793021,0.03165289894233,322,0.124295529993052,1686,0.650814483131321
"A020005525",5282.97375303,30.8137797821929,249.911269042103,440898.26674,156.7443222141,223.87,2194.95,293.68,81.61,18.74,0.079588317898217,0.780329558988215,0.104406562738859,0.029013278347583,0.006662282027126,2812.85,305161.41227,64,108.488334703237,0.022752724105445,186,0.066125104431449,695,0.247080363332563
"A020005545",4260.57700229,93.5784304274676,249.928049191646,263781.335061,99.0861994714803,88.74,1883.22,578.96,23.59,87.63,0.033334084608623,0.707408325632762,0.21747917089259,0.008861292043243,0.032917126822782,2662.14,582468.59669,185,218.797131890134,0.069492964306911,154,0.057848197314942,27,0.01014221641236
